SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,BZERO,IMAGETYP,EXPOSURE,EXPTIME,DATE-LOC,DATE-OBS,XBINNING,YBINNING,GAIN,OFFSET,EGAIN,XPIXSZ,YPIXSZ,INSTRUME,SET-TEMP,CCD-TEMP,USBLIMIT,TELESCOP,FOCALLEN,FOCRATIO,FWHEEL,FILTER,OBJECT,FOCNAME,FOCPOS,FOCUSPOS,FOCUSSZ,FOCTEMP,FOCUSTEM,ROWORDER,EQUINOX,SWCREATE,FILENAME,NUMBER,SOURCE_PATH,RA,DEC,CENTALT,CENTAZ,AIRMASS,PIERSIDE,SITEELEV,SITELAT,SITELONG,OBJCTRA,OBJCTDEC,OBJCTROT,CLOUDCVR,DEWPOINT,HUMIDITY,PRESSURE,AMBTEMP,WINDDIR,WINDSPD
True,16,2,9576,6388,True,32768,DARKFLAT,0.12,0.12,2022-02-24T11:31:56.158,2022-02-24T11:31:56.158,1,1,100,10,0.246657639741898,3.76,3.76,ZWO ASI6200MM Pro,-10.0,-10.1,40,NP101is,540.0,5.4,Starlight Xpress Fil,Blue,FlatWizard,FocusLynx Focuser 1,9684.0,9684.0,13.404,7.9,7.9,TOP-DOWN,2000.0,N.I.N.A. 2.0.0.2048,2022-02-24_11-31-56_Blue_-10.10_0.12s_0000.fits,1,/mnt/raid0/AstroImaging/Preselected/Flaming Star Nebula (IC405) started 4th February 2022/DarkFlats/Blue/2022-02-24_11-31-56_Blue_-10.10_0.12s_0000.fits,,,,,,,,,,,,,,,,,,,
True,16,2,9576,6388,True,32768,DARKFLAT,0.12,0.12,2022-02-24T11:31:58.181,2022-02-24T11:31:58.181,1,1,100,10,0.246657639741898,3.76,3.76,ZWO ASI6200MM Pro,-10.0,-10.1,40,NP101is,540.0,5.4,Starlight Xpress Fil,Blue,FlatWizard,FocusLynx Focuser 1,9682.0,9682.0,13.404,7.9,7.9,TOP-DOWN,2000.0,N.I.N.A. 2.0.0.2048,2022-02-24_11-31-58_Blue_-10.10_0.12s_0001.fits,1,/mnt/raid0/AstroImaging/Preselected/Flaming Star Nebula (IC405) started 4th February 2022/DarkFlats/Blue/2022-02-24_11-31-58_Blue_-10.10_0.12s_0001.fits,,,,,,,,,,,,,,,,,,,
True,16,2,9576,6388,True,32768,DARKFLAT,0.12,0.12,2022-02-24T11:32:03.652,2022-02-24T11:32:03.652,1,1,100,10,0.246657639741898,3.76,3.76,ZWO ASI6200MM Pro,-10.0,-10.0,40,NP101is,540.0,5.4,Starlight Xpress Fil,Blue,FlatWizard,FocusLynx Focuser 1,9681.0,9681.0,13.404,7.9,7.9,TOP-DOWN,2000.0,N.I.N.A. 2.0.0.2048,2022-02-24_11-32-03_Blue_-10.00_0.12s_0002.fits,1,/mnt/raid0/AstroImaging/Preselected/Flaming Star Nebula (IC405) started 4th February 2022/DarkFlats/Blue/2022-02-24_11-32-03_Blue_-10.00_0.12s_0002.fits,,,,,,,,,,,,,,,,,,,
True,16,2,9576,6388,True,32768,DARKFLAT,0.12,0.12,2022-02-24T11:32:09.105,2022-02-24T11:32:09.105,1,1,100,10,0.246657639741898,3.76,3.76,ZWO ASI6200MM Pro,-10.0,-10.0,40,NP101is,540.0,5.4,Starlight Xpress Fil,Blue,FlatWizard,FocusLynx Focuser 1,9681.0,9681.0,13.404,7.9,7.9,TOP-DOWN,2000.0,N.I.N.A. 2.0.0.2048,2022-02-24_11-32-09_Blue_-10.00_0.12s_0003.fits,1,/mnt/raid0/AstroImaging/Preselected/Flaming Star Nebula (IC405) started 4th February 2022/DarkFlats/Blue/2022-02-24_11-32-09_Blue_-10.00_0.12s_0003.fits,,,,,,,,,,,,,,,,,,,
True,16,2,9576,6388,True,32768,DARKFLAT,0.12,0.12,2022-02-24T11:32:14.833,2022-02-24T11:32:14.833,1,1,100,10,0.246657639741898,3.76,3.76,ZWO ASI6200MM Pro,-10.0,-10.0,40,NP101is,540.0,5.4,Starlight Xpress Fil,Blue,FlatWizard,FocusLynx Focuser 1,9681.0,9681.0,13.404,7.9,7.9,TOP-DOWN,2000.0,N.I.N.A. 2.0.0.2048,2022-02-24_11-32-14_Blue_-10.00_0.12s_0004.fits,1,/mnt/raid0/AstroImaging/Preselected/Flaming Star Nebula (IC405) started 4th February 2022/DarkFlats/Blue/2022-02-24_11-32-14_Blue_-10.00_0.12s_0004.fits,,,,,,,,,,,,,,,,,,,
True,16,2,9576,6388,True,32768,DARKFLAT,0.12,0.12,2022-02-24T11:32:18.740,2022-02-24T11:32:18.740,1,1,100,10,0.246657639741898,3.76,3.76,ZWO ASI6200MM Pro,-10.0,-10.0,40,NP101is,540.0,5.4,Starlight Xpress Fil,Blue,FlatWizard,FocusLynx Focuser 1,9681.0,9681.0,13.404,7.9,7.9,TOP-DOWN,2000.0,N.I.N.A. 2.0.0.2048,2022-02-24_11-32-18_Blue_-10.00_0.12s_0005.fits,1,/mnt/raid0/AstroImaging/Preselected/Flaming Star Nebula (IC405) started 4th February 2022/DarkFlats/Blue/2022-02-24_11-32-18_Blue_-10.00_0.12s_0005.fits,,,,,,,,,,,,,,,,,,,
True,16,2,9576,6388,True,32768,DARKFLAT,0.12,0.12,2022-02-24T11:32:24.698,2022-02-24T11:32:24.698,1,1,100,10,0.246657639741898,3.76,3.76,ZWO ASI6200MM Pro,-10.0,-10.0,40,NP101is,540.0,5.4,Starlight Xpress Fil,Blue,FlatWizard,FocusLynx Focuser 1,9681.0,9681.0,13.404,7.9,7.9,TOP-DOWN,2000.0,N.I.N.A. 2.0.0.2048,2022-02-24_11-32-24_Blue_-10.00_0.12s_0006.fits,1,/mnt/raid0/AstroImaging/Preselected/Flaming Star Nebula (IC405) started 4th February 2022/DarkFlats/Blue/2022-02-24_11-32-24_Blue_-10.00_0.12s_0006.fits,,,,,,,,,,,,,,,,,,,
True,16,2,9576,6388,True,32768,DARKFLAT,0.12,0.12,2022-02-24T11:32:29.470,2022-02-24T11:32:29.470,1,1,100,10,0.246657639741898,3.76,3.76,ZWO ASI6200MM Pro,-10.0,-10.0,40,NP101is,540.0,5.4,Starlight Xpress Fil,Blue,FlatWizard,FocusLynx Focuser 1,9681.0,9681.0,13.404,7.9,7.9,TOP-DOWN,2000.0,N.I.N.A. 2.0.0.2048,2022-02-24_11-32-29_Blue_-10.00_0.12s_0007.fits,1,/mnt/raid0/AstroImaging/Preselected/Flaming Star Nebula (IC405) started 4th February 2022/DarkFlats/Blue/2022-02-24_11-32-29_Blue_-10.00_0.12s_0007.fits,,,,,,,,,,,,,,,,,,,
True,16,2,9576,6388,True,32768,DARKFLAT,0.12,0.12,2022-02-24T11:32:35.045,2022-02-24T11:32:35.045,1,1,100,10,0.246657639741898,3.76,3.76,ZWO ASI6200MM Pro,-10.0,-10.0,40,NP101is,540.0,5.4,Starlight Xpress Fil,Blue,FlatWizard,FocusLynx Focuser 1,9681.0,9681.0,13.404,7.9,7.9,TOP-DOWN,2000.0,N.I.N.A. 2.0.0.2048,2022-02-24_11-32-35_Blue_-10.00_0.12s_0008.fits,1,/mnt/raid0/AstroImaging/Preselected/Flaming Star Nebula (IC405) started 4th February 2022/DarkFlats/Blue/2022-02-24_11-32-35_Blue_-10.00_0.12s_0008.fits,,,,,,,,,,,,,,,,,,,
True,16,2,9576,6388,True,32768,DARKFLAT,0.12,0.12,2022-02-24T11:32:40.116,2022-02-24T11:32:40.116,1,1,100,10,0.246657639741898,3.76,3.76,ZWO ASI6200MM Pro,-10.0,-10.0,40,NP101is,540.0,5.4,Starlight Xpress Fil,Blue,FlatWizard,FocusLynx Focuser 1,9681.0,9681.0,13.404,7.9,7.9,TOP-DOWN,2000.0,N.I.N.A. 2.0.0.2048,2022-02-24_11-32-40_Blue_-10.00_0.12s_0009.fits,1,/mnt/raid0/AstroImaging/Preselected/Flaming Star Nebula (IC405) started 4th February 2022/DarkFlats/Blue/2022-02-24_11-32-40_Blue_-10.00_0.12s_0009.fits,,,,,,,,,,,,,,,,,,,
