IMAGETYP,DATE-OBS,DATE-LOC,DATE-AVG,EXPOSURE,EXPTIME,INSTRUME,CAMERAID,GAIN,OFFSET,EGAIN,XBINNING,YBINNING,SET-TEMP,CCD-TEMP,XPIXSZ,YPIXSZ,USBLIMIT,SITEELEV,SITELAT,SITELONG,TELESCOP,FOCALLEN,FOCRATIO,RA,DEC,CENTALT,CENTAZ,AIRMASS,PIERSIDE,OBJECT,OBJCTRA,OBJCTDEC,OBJCTROT,FOCNAME,FOCPOS,FOCUSPOS,FOCUSSZ,FOCTEMP,FOCUSTEM,ROTNAME,ROTATOR,ROTATANG,ROTSTPSZ,FWHEEL,FILTER,CLOUDCVR,DEWPOINT,HUMIDITY,PRESSURE,AMBTEMP,WINDDIR,WINDGUST,WINDSPD,EQUINOX,SWCREATE,FILENAME,NUMBER,SOURCE_PATH
LIGHT,2025-12-20T03:30:35.6171356,2025-12-20T03:30:35.6171356,2025-12-20T03:35:36.1657457,600.0,600.0,ZWO ASI6200MM Pro,ZWOptical_ZWO ASI6200MM Pro_,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,94.7449364457836,22.8763284936584,42.74656,250.79861,1.47160759177048,East,IC 444,06 18 59,+22 52 35,87.63,FocusLynx Focuser 1,11081,11081,1.325,0.9,0.9,Manual Rotator,87.6268157958984,87.6268157958984,0.0,Ascom.SxUFW (v2) ,Ha,0.0,3.52418403124641,91.0,1008.05101011758,4.84000000000003,184.0,14.472,6.444,2000.0,N.I.N.A. 3.2.0.9001 (x64),IC 444_Date_2025-12-20_Time_03-30-35_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.70px_FWHM_4.31_Temp_0.90_0000.xisf,1,/mnt/raid0/AstroImaging/Source/LBN 548/LIGHT/Ha/IC 444_Date_2025-12-20_Time_03-30-35_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.70px_FWHM_4.31_Temp_0.90_0000.xisf
LIGHT,2025-12-20T03:40:36.8180385,2025-12-20T03:40:36.8180385,2025-12-20T03:45:37.3788764,600.0,600.0,ZWO ASI6200MM Pro,ZWOptical_ZWO ASI6200MM Pro_,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,94.7449057808754,22.8763184476712,41.28474,253.21283,1.51370922323181,East,IC 444,06 18 59,+22 52 35,87.63,FocusLynx Focuser 1,11081,11081,1.325,0.8,0.8,Manual Rotator,87.6268157958984,87.6268157958984,0.0,Ascom.SxUFW (v2) ,Ha,0.0,3.52418403124641,91.0,1008.05101011758,4.84000000000003,184.0,14.472,6.444,2000.0,N.I.N.A. 3.2.0.9001 (x64),IC 444_Date_2025-12-20_Time_03-40-36_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.70px_FWHM_4.29_Temp_0.80_0001.xisf,1,/mnt/raid0/AstroImaging/Source/LBN 548/LIGHT/Ha/IC 444_Date_2025-12-20_Time_03-40-36_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.70px_FWHM_4.29_Temp_0.80_0001.xisf
LIGHT,2025-12-20T03:51:32.3073196,2025-12-20T03:51:32.3073196,2025-12-20T03:56:32.8403533,600.0,600.0,ZWO ASI6200MM Pro,ZWOptical_ZWO ASI6200MM Pro_,100,10,0.246657639741898,1,1,-10.0,-9.9,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,94.7459715043576,22.8758612104158,39.66876,255.76228,1.56435464856833,East,IC 444,06 18 59,+22 52 35,87.63,FocusLynx Focuser 1,11081,11081,1.325,0.7,0.7,Manual Rotator,87.6268157958984,87.6268157958984,0.0,Ascom.SxUFW (v2) ,Ha,0.0,3.52418403124641,91.0,1008.05101011758,4.84000000000003,184.0,14.472,6.444,2000.0,N.I.N.A. 3.2.0.9001 (x64),IC 444_Date_2025-12-20_Time_03-51-32_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.69px_FWHM_4.25_Temp_0.70_0002.xisf,1,/mnt/raid0/AstroImaging/Source/LBN 548/LIGHT/Ha/IC 444_Date_2025-12-20_Time_03-51-32_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.69px_FWHM_4.25_Temp_0.70_0002.xisf
LIGHT,2025-12-20T04:01:33.5021331,2025-12-20T04:01:33.5021331,2025-12-20T04:06:34.0334269,600.0,600.0,ZWO ASI6200MM Pro,ZWOptical_ZWO ASI6200MM Pro_,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,94.7461206138504,22.8759316261432,38.17428,258.02674,1.61547101617169,East,IC 444,06 18 59,+22 52 35,87.63,FocusLynx Focuser 1,11081,11081,1.325,0.7,0.7,Manual Rotator,87.6268157958984,87.6268157958984,0.0,Ascom.SxUFW (v2) ,Ha,0.0,3.52418403124641,91.0,1008.05101011758,4.84000000000003,184.0,14.472,6.444,2000.0,N.I.N.A. 3.2.0.9001 (x64),IC 444_Date_2025-12-20_Time_04-01-33_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.70px_FWHM_4.25_Temp_0.70_0003.xisf,1,/mnt/raid0/AstroImaging/Source/LBN 548/LIGHT/Ha/IC 444_Date_2025-12-20_Time_04-01-33_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.70px_FWHM_4.25_Temp_0.70_0003.xisf
LIGHT,2025-12-20T04:11:34.6696716,2025-12-20T04:11:34.6696716,2025-12-20T04:16:35.1979702,600.0,600.0,ZWO ASI6200MM Pro,ZWOptical_ZWO ASI6200MM Pro_,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,94.746030064089,22.8758814251665,36.66317,260.23756,1.67184689603445,East,IC 444,06 18 59,+22 52 35,87.63,FocusLynx Focuser 1,11081,11081,1.325,0.7,0.7,Manual Rotator,87.6268157958984,87.6268157958984,0.0,Ascom.SxUFW (v2) ,Ha,0.0,3.52418403124641,91.0,1008.05101011758,4.84000000000003,184.0,14.472,6.444,2000.0,N.I.N.A. 3.2.0.9001 (x64),IC 444_Date_2025-12-20_Time_04-11-34_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.69px_FWHM_4.22_Temp_0.70_0004.xisf,1,/mnt/raid0/AstroImaging/Source/LBN 548/LIGHT/Ha/IC 444_Date_2025-12-20_Time_04-11-34_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.69px_FWHM_4.22_Temp_0.70_0004.xisf
LIGHT,2025-12-20T04:22:26.3367085,2025-12-20T04:22:26.3367085,2025-12-20T04:27:26.9074878,600.0,600.0,ZWO ASI6200MM Pro,ZWOptical_ZWO ASI6200MM Pro_,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,94.7457775847257,22.8747907962583,35.01231,262.57409,1.73952369831768,East,IC 444,06 18 59,+22 52 35,87.63,FocusLynx Focuser 1,11081,11081,1.325,0.5,0.5,Manual Rotator,87.6268157958984,87.6268157958984,0.0,Ascom.SxUFW (v2) ,Ha,0.0,3.52418403124641,91.0,1008.05101011758,4.84000000000003,184.0,14.472,6.444,2000.0,N.I.N.A. 3.2.0.9001 (x64),IC 444_Date_2025-12-20_Time_04-22-26_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.39_HFR_1.71px_FWHM_4.31_Temp_0.50_0005.xisf,1,/mnt/raid0/AstroImaging/Source/LBN 548/LIGHT/Ha/IC 444_Date_2025-12-20_Time_04-22-26_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.39_HFR_1.71px_FWHM_4.31_Temp_0.50_0005.xisf
LIGHT,2025-12-20T04:32:27.6182012,2025-12-20T04:32:27.6182012,2025-12-20T04:37:28.1798833,600.0,600.0,ZWO ASI6200MM Pro,ZWOptical_ZWO ASI6200MM Pro_,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,94.7457469515489,22.8747707487627,33.48807,264.67282,1.80842173242911,East,IC 444,06 18 59,+22 52 35,87.63,FocusLynx Focuser 1,11081,11081,1.325,0.5,0.5,Manual Rotator,87.6268157958984,87.6268157958984,0.0,Ascom.SxUFW (v2) ,Ha,0.0,3.52418403124641,91.0,1008.05101011758,4.84000000000003,184.0,14.472,6.444,2000.0,N.I.N.A. 3.2.0.9001 (x64),IC 444_Date_2025-12-20_Time_04-32-27_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.71px_FWHM_4.33_Temp_0.50_0006.xisf,1,/mnt/raid0/AstroImaging/Source/LBN 548/LIGHT/Ha/IC 444_Date_2025-12-20_Time_04-32-27_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.71px_FWHM_4.33_Temp_0.50_0006.xisf
LIGHT,2025-12-20T04:42:28.8639204,2025-12-20T04:42:28.8639204,2025-12-20T04:47:29.3904694,600.0,600.0,ZWO ASI6200MM Pro,ZWOptical_ZWO ASI6200MM Pro_,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,94.7457762310523,22.8747808551963,31.95479,266.73482,1.88483139867349,East,IC 444,06 18 59,+22 52 35,87.63,FocusLynx Focuser 1,11081,11081,1.325,0.4,0.4,Manual Rotator,87.6268157958984,87.6268157958984,0.0,Ascom.SxUFW (v2) ,Ha,0.0,3.52418403124641,91.0,1008.05101011758,4.84000000000003,184.0,14.472,6.444,2000.0,N.I.N.A. 3.2.0.9001 (x64),IC 444_Date_2025-12-20_Time_04-42-28_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.71px_FWHM_4.29_Temp_0.40_0007.xisf,1,/mnt/raid0/AstroImaging/Source/LBN 548/LIGHT/Ha/IC 444_Date_2025-12-20_Time_04-42-28_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.71px_FWHM_4.29_Temp_0.40_0007.xisf
LIGHT,2025-12-20T04:53:20.1550947,2025-12-20T04:53:20.1550947,2025-12-20T04:58:20.6968315,600.0,600.0,ZWO ASI6200MM Pro,ZWOptical_ZWO ASI6200MM Pro_,100,10,0.246657639741898,1,1,-10.0,-9.9,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,94.7468984009913,22.8755037775786,30.29608,268.92041,1.97673191972467,East,IC 444,06 18 59,+22 52 35,87.63,FocusLynx Focuser 1,11081,11081,1.325,0.4,0.4,Manual Rotator,87.6268157958984,87.6268157958984,0.0,Ascom.SxUFW (v2) ,Ha,0.0,3.52418403124641,91.0,1008.05101011758,4.84000000000003,184.0,14.472,6.444,2000.0,N.I.N.A. 3.2.0.9001 (x64),IC 444_Date_2025-12-20_Time_04-53-20_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.38_HFR_1.79px_FWHM_4.68_Temp_0.40_0008.xisf,1,/mnt/raid0/AstroImaging/Source/LBN 548/LIGHT/Ha/IC 444_Date_2025-12-20_Time_04-53-20_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.38_HFR_1.79px_FWHM_4.68_Temp_0.40_0008.xisf
LIGHT,2025-12-20T05:03:21.3819194,2025-12-20T05:03:21.3819194,2025-12-20T05:08:21.9611126,600.0,600.0,ZWO ASI6200MM Pro,ZWOptical_ZWO ASI6200MM Pro_,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,94.7468225812834,22.8755436142525,28.7586388888889,270.90938,2.07186568704184,East,IC 444,06 18 59,+22 52 35,87.63,FocusLynx Focuser 1,11081,11081,1.325,0.3,0.3,Manual Rotator,87.6268157958984,87.6268157958984,0.0,Ascom.SxUFW (v2) ,Ha,0.0,3.52418403124641,91.0,1008.05101011758,4.84000000000003,184.0,14.472,6.444,2000.0,N.I.N.A. 3.2.0.9001 (x64),IC 444_Date_2025-12-20_Time_05-03-21_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.39_HFR_1.80px_FWHM_4.73_Temp_0.30_0009.xisf,1,/mnt/raid0/AstroImaging/Source/LBN 548/LIGHT/Ha/IC 444_Date_2025-12-20_Time_05-03-21_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.39_HFR_1.80px_FWHM_4.73_Temp_0.30_0009.xisf
