IMAGETYP,DATE-OBS,DATE-LOC,DATE-AVG,EXPOSURE,EXPTIME,INSTRUME,CAMERAID,GAIN,OFFSET,EGAIN,XBINNING,YBINNING,SET-TEMP,CCD-TEMP,XPIXSZ,YPIXSZ,USBLIMIT,SITEELEV,SITELAT,SITELONG,TELESCOP,FOCALLEN,FOCRATIO,RA,DEC,CENTALT,CENTAZ,AIRMASS,PIERSIDE,OBJECT,OBJCTRA,OBJCTDEC,OBJCTROT,FOCNAME,FOCPOS,FOCUSPOS,FOCUSSZ,FOCTEMP,FOCUSTEM,ROTNAME,ROTATOR,ROTATANG,ROTSTPSZ,FWHEEL,FILTER,CLOUDCVR,HUMIDITY,PRESSURE,AMBTEMP,WINDDIR,WINDSPD,EQUINOX,SWCREATE,FILENAME,NUMBER,DEWPOINT,WINDGUST
LIGHT,2025-07-09T22:20:32.436,2025-07-09T23:20:32.436,2025-07-09T22:25:33.070,600.0,600.0,ZWO ASI6200MM Pro,ZWO ASI6200MM Pro,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,315.363003744997,41.6259420956057,55.1009722222222,87.19251,1.21863333954448,West,NGC 6997 Panel 1,21 01 27,+41 37 32,90.0,FocusLynx Focuser 1,12451,12451,1.325,17.6,17.6,Manual Rotator,0.0,0.0,0.0,Starlight Xpress Filter Wheels,Ha,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,N.I.N.A. 3.1.2.9001 (x64),NGC_6997_Panel_1_Date_2025-07-09_Time_23-20-32_LIGHT_Ha_600.00s_G100_O10_E0.44_HFR1.69_FWHM4.11_T17.60_F0000.xisf,1,,
LIGHT,2025-07-12T21:58:35.193,2025-07-12T22:58:35.193,2025-07-12T22:03:35.800,600.0,600.0,ZWO ASI6200MM Pro,ZWO ASI6200MM Pro,100,10,0.246657639741898,1,1,-10.0,-9.9,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,315.364036190066,41.6255652641409,53.54025,85.31405,1.2426400316019,West,NGC 6997 Panel 1,21 01 27,+41 37 32,90.0,FocusLynx Focuser 1,12323,12323,1.325,16.6,16.6,Manual Rotator,0.0,0.0,0.0,Starlight Xpress Filter Wheels,Ha,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,N.I.N.A. 3.1.2.9001 (x64),NGC 6997 Panel 1_Date_2025-07-12_Time_22-58-35_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.39_HFR_1.66px_FWHM_4.16_Temp_16.60_0001.xisf,1,,
LIGHT,2025-07-12T22:29:03.626,2025-07-12T23:29:03.626,2025-07-12T22:34:04.177,600.0,600.0,ZWO ASI6200MM Pro,ZWO ASI6200MM Pro,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,315.365338874976,41.6253690832641,58.21,91.14331,1.17598271576032,West,NGC 6997 Panel 1,21 01 27,+41 37 32,90.0,FocusLynx Focuser 1,12323,12323,1.325,15.8,15.8,Manual Rotator,0.0,0.0,0.0,Starlight Xpress Filter Wheels,Ha,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,N.I.N.A. 3.1.2.9001 (x64),NGC 6997 Panel 1_Date_2025-07-12_Time_23-29-03_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.42_HFR_1.68px_FWHM_4.11_Temp_15.80_0004.xisf,1,,
LIGHT,2025-07-29T01:55:55.1490591,2025-07-29T02:55:55.1490591,2025-07-29T02:00:55.6523421,600.0,600.0,ZWO ASI6200MM Pro,ZWO ASI6200MM Pro,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,315.362614512441,41.624298262827,71.39162,244.61954,1.05497196103548,East,NGC 6997 Panel 1,21 01 27,+41 37 32,90.0,FocusLynx Focuser 1,12138,12138,1.325,11.9,11.9,Manual Rotator,0.0,0.0,0.0,Ascom.SxUFW (v2) ,Ha,78.0,66.0,1012.01971488183,18.3200000000001,343.0,14.184,2000.0,N.I.N.A. 3.2.0.2001 (x64),NGC 6997 Panel 1_Date_2025-07-29_Time_02-55-55_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.47_HFR_1.68px_FWHM_3.92_Temp_11.90_0041.xisf,1,11.9773242821181,30.024
LIGHT,2025-08-01T21:44:50.0730919,2025-08-01T22:44:50.0730919,2025-08-01T21:49:50.6227628,600.0,600.0,ZWO ASI6200MM Pro,ZWO ASI6200MM Pro,100,10,0.246657639741898,1,1,0.0,0.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,315.36393862015,41.6255689342845,63.46943,98.78718,1.11735017635581,West,NGC 6997 Panel 1,21 01 27,+41 37 32,90.0,FocusLynx Focuser 1,12108,12108,1.325,11.7,11.7,Manual Rotator,0.0,0.0,0.0,Ascom.SxUFW (v2) ,Ha,,,,,,,2000.0,N.I.N.A. 3.2.0.2001 (x64),NGC 6997 Panel 1_Date_2025-08-01_Time_22-44-50_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.39_HFR_1.64px_FWHM_4.15_Temp_11.70_0048.xisf,1,,
LIGHT,2025-07-29T02:06:10.8553263,2025-07-29T03:06:10.8553263,2025-07-29T02:11:11.3981733,600.0,600.0,ZWO ASI6200MM Pro,ZWO ASI6200MM Pro,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,315.363665904149,41.625315902997,69.9474166666667,248.4437,1.06432041234459,East,NGC 6997 Panel 1,21 01 27,+41 37 32,90.0,FocusLynx Focuser 1,12138,12138,1.325,11.8,11.8,Manual Rotator,0.0,0.0,0.0,Ascom.SxUFW (v2) ,Ha,78.0,66.0,1012.01971488183,18.3200000000001,343.0,14.184,2000.0,N.I.N.A. 3.2.0.2001 (x64),NGC 6997 Panel 1_Date_2025-07-29_Time_03-06-10_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.48_HFR_1.68px_FWHM_3.92_Temp_11.80_0042.xisf,1,11.9773242821181,30.024
LIGHT,2025-07-12T22:08:36.492,2025-07-12T23:08:36.492,2025-07-12T22:13:37.081,600.0,600.0,ZWO ASI6200MM Pro,ZWO ASI6200MM Pro,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,315.363967493839,41.6255670413427,55.0719722222222,87.15718,1.21906278636075,West,NGC 6997 Panel 1,21 01 27,+41 37 32,90.0,FocusLynx Focuser 1,12323,12323,1.325,16.3,16.3,Manual Rotator,0.0,0.0,0.0,Starlight Xpress Filter Wheels,Ha,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,N.I.N.A. 3.1.2.9001 (x64),NGC 6997 Panel 1_Date_2025-07-12_Time_23-08-36_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.38_HFR_1.67px_FWHM_4.17_Temp_16.30_0002.xisf,1,,
LIGHT,2025-08-01T21:54:51.2852136,2025-08-01T22:54:51.2852136,2025-08-01T21:59:51.8113217,600.0,600.0,ZWO ASI6200MM Pro,ZWO ASI6200MM Pro,100,10,0.246657639741898,1,1,0.0,0.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,315.363998170955,41.6255381447646,64.98312,101.32958,1.10321842214343,West,NGC 6997 Panel 1,21 01 27,+41 37 32,90.0,FocusLynx Focuser 1,12108,12108,1.325,11.6,11.6,Manual Rotator,0.0,0.0,0.0,Ascom.SxUFW (v2) ,Ha,,,,,,,2000.0,N.I.N.A. 3.2.0.2001 (x64),NGC 6997 Panel 1_Date_2025-08-01_Time_22-54-51_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.40_HFR_1.65px_FWHM_4.15_Temp_11.60_0049.xisf,1,,
LIGHT,2025-08-02T21:32:04.3782844,2025-08-02T22:32:04.3782844,2025-08-02T21:37:04.9247988,600.0,600.0,ZWO ASI6200MM Pro,ZWO ASI6200MM Pro,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,315.363270919778,41.6259810902028,62.12782,96.68205,1.13084766258026,West,NGC 6997 Panel 1,21 01 27,+41 37 32,90.0,FocusLynx Focuser 1,12127,12127,1.325,13.3,13.3,Manual Rotator,0.0,0.0,0.0,Ascom.SxUFW (v2) ,Ha,0.0,68.0,1009.04318630864,16.56,281.0,9.684,2000.0,N.I.N.A. 3.2.0.2001 (x64),NGC 6997 Panel 1_Date_2025-08-02_Time_22-32-04_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.38_HFR_1.64px_FWHM_4.07_Temp_13.30_0048.xisf,1,10.7434393874969,10.548
LIGHT,2025-07-12T22:18:37.812,2025-07-12T23:18:37.812,2025-07-12T22:23:38.404,600.0,600.0,ZWO ASI6200MM Pro,ZWO ASI6200MM Pro,100,10,0.246657639741898,1,1,-10.0,-10.0,3.76,3.76,40,66.2,52.2483888888889,-0.12325,NP101is,540.0,5.4,315.363925417082,41.6255665494811,56.61053,89.07207,1.19710605916448,West,NGC 6997 Panel 1,21 01 27,+41 37 32,90.0,FocusLynx Focuser 1,12323,12323,1.325,16.1,16.1,Manual Rotator,0.0,0.0,0.0,Starlight Xpress Filter Wheels,Ha,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,N.I.N.A. 3.1.2.9001 (x64),NGC 6997 Panel 1_Date_2025-07-12_Time_23-18-37_Type_LIGHT_Filter_Ha_Exp_600.00s_G_100_Off_10_Ecc_0.39_HFR_1.68px_FWHM_4.20_Temp_16.10_0003.xisf,1,,
