date,filter,number,duration,binning,gain,sensorCooling,fNumber,darks,flats,flatDarks,bias,bortle,meanSqm,meanFwhm,temperature
2022-02-04,2906,49,300.0,1.0,0,-10.0,5.4,0,50,50,0,4.0,21.0,2.87,0.57
2022-02-06,2906,52,300.0,1.0,0,-10.0,5.4,0,50,50,0,4.0,21.0,2.87,1.99
2022-02-07,2906,24,300.0,1.0,0,-10.0,5.4,0,50,50,0,4.0,21.0,2.87,7.11
2022-02-07,4649,3,300.0,1.0,0,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,7.13
2022-02-08,4643,5,300.0,1.0,0,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,6.36
2022-02-08,4649,31,300.0,1.0,0,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,6.86
2022-02-22,4643,30,300.0,1.0,0,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,2.09
2022-02-22,4649,30,300.0,1.0,0,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,3.79
2022-02-23,4643,30,300.0,1.0,0,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,5.21
2022-02-24,4637,43,300.0,1.0,0,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,0.72
2022-02-25,4637,19,300.0,1.0,0,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,1.12
2022-02-25,4663,43,300.0,1.0,100,-10.0,5.4,0,50,50,0,4.0,21.0,2.87,-0.27
2022-02-26,4663,61,300.0,1.0,100,-10.0,5.4,0,50,50,0,4.0,21.0,2.87,1.07
2022-02-27,4663,20,300.0,1.0,100,-10.0,5.4,0,50,50,0,4.0,21.0,2.87,1.82
2022-02-27,4752,36,300.0,1.0,100,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,0.31
2022-03-07,4752,49,300.0,1.0,100,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,-1.99
2022-03-17,4752,5,300.0,1.0,100,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,4.02
2022-03-18,4752,19,300.0,1.0,100,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,4.9
2022-03-18,4844,8,300.0,1.0,100,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,4.2
2022-03-19,4752,13,300.0,1.0,100,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,4.46
2022-03-19,4844,36,300.0,1.0,100,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,2.42
2022-03-20,4844,29,300.0,1.0,100,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,-1.2
2022-03-21,4844,11,300.0,1.0,100,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,5.05
2022-03-22,4844,45,300.0,1.0,100,-10.0,5.4,0,50,0,0,4.0,21.0,2.87,5.76
2022-03-25,4663,34,300.0,1.0,100,16.0,5.4,0,50,50,0,4.0,21.0,2.87,5.54
2022-03-26,4663,40,300.0,1.0,100,16.0,5.4,0,50,50,0,4.0,21.0,2.87,1.35
