date,filter,number,duration,binning,gain,sensorCooling,fNumber,darks,flats,flatDarks,bias,bortle,meanSqm,meanFwhm,temperature
2025-11-27,4752,25,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,4.5,6.78
2025-11-28,4752,10,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,4.7,5.77
2025-11-29,4752,9,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,4.69,2.24
2025-11-30,4752,21,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,4.81,1.41
2025-11-30,4844,3,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,5.13,1.43
2025-12-10,4752,23,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,4.24,5.93
2025-12-12,4752,16,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,4.69,3.3
2025-12-12,4844,22,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,5.12,1.8
2025-12-14,4844,47,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,5.45,7.15
2025-12-16,4844,23,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,5.22,0.0
2025-12-19,4663,14,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,4.99,0.41
2025-12-19,4844,49,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,4.97,2.63
2026-01-10,4663,8,600.0,1.0,100,-10.0,5.4,0,0,0,0,4.0,21.0,4.79,-4.62
